Year,Month,Day,NorESM1-M
1981,3,30,33.49
1981,3,31,32.90
1981,4,1,32.34
1981,4,2,31.80
1981,4,3,38.17
1981,4,4,37.39
1981,4,5,32.61
1981,4,6,30.54
1981,4,7,68.71
1981,4,8,49.92
1981,4,9,36.48
1981,4,10,31.22
1981,4,11,29.20
1981,4,12,28.25
1981,4,13,94.59
1981,4,14,213.86
1981,4,15,160.18
1981,4,16,80.75
1981,4,17,47.70
1981,4,18,36.44
1981,4,19,32.80
1981,4,20,31.42
1981,4,21,30.71
1981,4,22,156.25
1981,4,23,181.84
1981,4,24,90.29
1981,4,25,51.91
1981,4,26,38.70
1981,4,27,34.43
1981,4,28,32.96
1981,4,29,34.00
1981,4,30,36.46
1981,5,1,31.69
1981,5,2,54.42
1981,5,3,40.19
1981,5,4,33.53
1981,5,5,30.93
1981,5,6,32.84
1981,5,7,31.50
1981,5,8,29.61
1981,5,9,28.33
1981,5,10,27.54
1981,5,11,26.96
1981,5,12,26.47
1981,5,13,25.99
1981,5,14,25.51
1981,5,15,25.12
1981,5,16,24.73
1981,5,17,25.75
1981,5,18,26.73
1981,5,19,25.37
1981,5,20,24.02
1981,5,21,23.13
1981,5,22,22.56
1981,5,23,22.13
1981,5,24,21.69
1981,5,25,24.86
1981,5,26,67.21
1981,5,27,55.06
1981,5,28,32.49
1981,5,29,24.61
1981,5,30,21.97
1981,5,31,21.00
1981,6,1,20.48
1981,6,2,20.05
1981,6,3,19.57
1981,6,4,21.96
1981,6,5,20.75
1981,6,6,19.47
1981,6,7,18.70
1981,6,8,18.23
1981,6,9,17.87
1981,6,10,17.58
1981,6,11,17.28
1981,6,12,16.93
1981,6,13,16.58
1981,6,14,16.22
1981,6,15,15.89
1981,6,16,15.62
1981,6,17,15.43
1981,6,18,15.16
1981,6,19,14.95
1981,6,20,14.76
1981,6,21,14.54
1981,6,22,14.22
1981,6,23,13.91
1981,6,24,13.64
1981,6,25,13.44
1981,6,26,13.23
1981,6,27,12.98
1981,6,28,12.76
1981,6,29,12.52
1981,6,30,12.29
1981,7,1,12.09
1981,7,2,11.92
1981,7,3,11.76
1981,7,4,11.62
1981,7,5,11.44
1981,7,6,11.22
1981,7,7,11.03
1981,7,8,10.97
1981,7,9,10.71
1981,7,10,10.44
1981,7,11,10.24
1981,7,12,10.06
1981,7,13,9.89
1981,7,14,9.73
1981,7,15,9.53
1981,7,16,9.29
1981,7,17,9.10
1981,7,18,8.91
1981,7,19,8.74
1981,7,20,8.65
1981,7,21,8.52
1981,7,22,8.41
1981,7,23,8.26
1981,7,24,8.05
1981,7,25,7.91
1981,7,26,7.76
1981,7,27,7.65
1981,7,28,7.57
1981,7,29,7.44
1981,7,30,7.30
1981,7,31,7.22
1981,8,1,7.10
1981,8,2,6.95
1981,8,3,6.83
1981,8,4,6.68
1981,8,5,6.54
1981,8,6,6.45
1981,8,7,6.30
1981,8,8,6.20
1981,8,9,6.14
1981,8,10,6.05
1981,8,11,5.91
1981,8,12,5.78
1981,8,13,5.67
1981,8,14,5.59
1981,8,15,5.53
1981,8,16,5.44
1981,8,17,5.32
1981,8,18,5.23
1981,8,19,5.13
1981,8,20,5.04
1981,8,21,4.99
1981,8,22,4.96
1981,8,23,4.87
1981,8,24,4.74
1981,8,25,4.64
1981,8,26,4.59
1981,8,27,4.57
1981,8,28,4.44
1981,8,29,4.28
1981,8,30,4.21
1981,8,31,4.17
1981,9,1,4.05
1981,9,2,3.94
1981,9,3,3.94
1981,9,4,3.95
1981,9,5,3.89
1981,9,6,3.76
1981,9,7,3.64
1981,9,8,3.58
1981,9,9,3.61
1981,9,10,3.57
1981,9,11,3.54
1981,9,12,3.48
1981,9,13,3.39
1981,9,14,3.31
1981,9,15,3.24
1981,9,16,3.16
1981,9,17,3.12
1981,9,18,3.12
1981,9,19,3.10
1981,9,20,3.05
1981,9,21,3.00
1981,9,22,2.93
1981,9,23,2.86
1981,9,24,2.81
1981,9,25,2.74
1981,9,26,2.69
1981,9,27,2.65
1981,9,28,2.58
1981,9,29,2.52
1981,9,30,2.48
1981,10,1,2.43
1981,10,2,2.40
1981,10,3,2.41
1981,10,4,2.39
1981,10,5,2.36
1981,10,6,2.32
1981,10,7,2.26
1981,10,8,2.21
1981,10,9,2.17
1981,10,10,2.13
1981,10,11,2.09
1981,10,12,2.05
1981,10,13,2.00
