Year,Month,Day,HadGEM2-ES
1980,12,30,93.23
1980,12,31,92.68
1981,1,1,95.20
1981,1,2,94.70
1981,1,3,94.17
1981,1,4,93.65
1981,1,5,93.16
1981,1,6,92.72
1981,1,7,92.38
1981,1,8,91.96
1981,1,9,93.40
1981,1,10,92.83
1981,1,11,92.32
1981,1,12,91.74
1981,1,13,91.19
1981,1,14,90.85
1981,1,15,90.70
1981,1,16,90.45
1981,1,17,90.09
1981,1,18,89.63
1981,1,19,89.31
1981,1,20,89.13
1981,1,21,88.83
1981,1,22,88.60
1981,1,23,88.38
1981,1,24,88.07
1981,1,25,87.63
1981,1,26,87.28
1981,1,27,87.07
1981,1,28,86.88
1981,1,29,86.67
1981,1,30,86.39
1981,1,31,86.10
1981,2,1,85.80
1981,2,2,85.47
1981,2,3,85.09
1981,2,4,84.73
1981,2,5,84.50
1981,2,6,84.30
1981,2,7,84.10
1981,2,8,83.92
1981,2,9,83.75
1981,2,10,83.54
1981,2,11,83.27
1981,2,12,83.01
1981,2,13,82.81
1981,2,14,82.64
1981,2,15,82.44
1981,2,16,82.20
1981,2,17,81.97
1981,2,18,81.56
1981,2,19,81.10
1981,2,20,80.58
1981,2,21,80.00
1981,2,22,79.45
1981,2,23,78.96
1981,2,24,78.52
1981,2,25,78.12
1981,2,26,77.70
1981,2,27,77.31
1981,2,28,95.20
1981,3,1,95.20
1981,3,2,94.67
1981,3,3,94.12
1981,3,4,93.55
1981,3,5,92.90
1981,3,6,92.22
1981,3,7,91.59
1981,3,8,90.93
1981,3,9,90.25
1981,3,10,89.63
1981,3,11,88.98
1981,3,12,88.26
1981,3,13,95.20
1981,3,14,94.35
1981,3,15,95.20
1981,3,16,95.20
1981,3,17,94.46
1981,3,18,95.20
1981,3,19,95.20
1981,3,20,95.20
1981,3,21,94.62
1981,3,22,93.85
1981,3,23,95.20
1981,3,24,95.20
1981,3,25,95.20
1981,3,26,95.20
1981,3,27,95.20
1981,3,28,95.20
1981,3,29,94.30
1981,3,30,95.20
1981,3,31,95.20
1981,4,1,94.30
1981,4,2,95.20
1981,4,3,95.20
1981,4,4,95.20
1981,4,5,95.20
1981,4,6,95.20
1981,4,7,95.20
1981,4,8,94.99
1981,4,9,94.67
1981,4,10,95.20
1981,4,11,94.19
1981,4,12,92.17
1981,4,13,90.48
1981,4,14,89.59
1981,4,15,88.43
1981,4,16,87.66
1981,4,17,86.96
1981,4,18,93.20
1981,4,19,90.73
1981,4,20,88.27
1981,4,21,85.63
1981,4,22,82.70
1981,4,23,80.22
1981,4,24,77.50
1981,4,25,76.27
1981,4,26,73.99
1981,4,27,72.14
1981,4,28,69.49
1981,4,29,66.96
1981,4,30,64.89
1981,5,1,63.27
1981,5,2,61.78
1981,5,3,60.66
1981,5,4,59.17
1981,5,5,57.25
1981,5,6,55.25
1981,5,7,52.97
1981,5,8,49.52
1981,5,9,46.71
1981,5,10,47.11
1981,5,11,46.33
1981,5,12,45.17
1981,5,13,43.81
1981,5,14,41.96
1981,5,15,41.06
1981,5,16,39.35
1981,5,17,44.11
1981,5,18,45.70
1981,5,19,44.30
1981,5,20,43.49
1981,5,21,48.53
1981,5,22,54.61
1981,5,23,55.43
1981,5,24,54.53
1981,5,25,52.05
1981,5,26,51.68
1981,5,27,49.04
1981,5,28,46.62
1981,5,29,50.03
1981,5,30,62.82
1981,5,31,66.99
1981,6,1,66.72
1981,6,2,64.55
1981,6,3,65.79
1981,6,4,72.93
1981,6,5,78.31
1981,6,6,77.97
1981,6,7,78.97
1981,6,8,83.36
1981,6,9,80.61
1981,6,10,85.21
1981,6,11,90.47
1981,6,12,87.42
1981,6,13,87.16
1981,6,14,84.28
1981,6,15,84.39
1981,6,16,82.26
1981,6,17,79.36
1981,6,18,79.92
1981,6,19,89.59
1981,6,20,95.20
1981,6,21,93.31
1981,6,22,89.78
1981,6,23,86.38
1981,6,24,83.01
1981,6,25,79.09
1981,6,26,74.85
1981,6,27,71.57
1981,6,28,68.80
1981,6,29,64.63
1981,6,30,66.04
1981,7,1,73.87
1981,7,2,72.78
1981,7,3,69.71
1981,7,4,66.88
1981,7,5,64.04
1981,7,6,61.27
1981,7,7,59.30
1981,7,8,55.94
1981,7,9,52.87
1981,7,10,48.55
1981,7,11,47.45
1981,7,12,43.45
1981,7,13,39.82
1981,7,14,37.80
1981,7,15,46.50
1981,7,16,43.22
1981,7,17,41.47
1981,7,18,46.47
1981,7,19,42.96
1981,7,20,39.45
1981,7,21,36.39
1981,7,22,33.56
1981,7,23,30.64
1981,7,24,32.04
1981,7,25,29.69
1981,7,26,27.22
1981,7,27,25.83
1981,7,28,24.59
1981,7,29,22.93
1981,7,30,22.72
1981,7,31,21.69
1981,8,1,19.50
1981,8,2,17.21
1981,8,3,15.04
1981,8,4,12.90
1981,8,5,10.97
1981,8,6,9.26
1981,8,7,7.68
1981,8,8,6.86
1981,8,9,6.02
1981,8,10,5.21
1981,8,11,4.43
1981,8,12,3.70
1981,8,13,2.99
1981,8,14,2.48
1981,8,15,1.99
1981,8,16,1.66
1981,8,17,1.37
1981,8,18,1.10
1981,8,19,0.89
1981,8,20,0.73
1981,8,21,0.60
1981,8,22,0.50
1981,8,23,0.40
1981,8,24,0.35
1981,8,25,0.29
1981,8,26,0.28
1981,8,27,0.23
1981,8,28,0.18
1981,8,29,0.15
1981,8,30,0.12
1981,8,31,0.10
1981,9,1,13.99
1981,9,2,81.95
1981,9,3,95.20
1981,9,4,92.53
1981,9,5,90.34
1981,9,6,88.01
1981,9,7,85.28
1981,9,8,82.02
1981,9,9,79.17
1981,9,10,76.11
1981,9,11,77.16
1981,9,12,73.63
1981,9,13,77.31
1981,9,14,95.20
1981,9,15,95.20
1981,9,16,95.20
1981,9,17,93.31
1981,9,18,91.36
1981,9,19,88.96
1981,9,20,86.62
1981,9,21,84.37
1981,9,22,81.81
1981,9,23,81.37
1981,9,24,79.29
1981,9,25,78.18
1981,9,26,76.79
1981,9,27,75.54
1981,9,28,73.82
1981,9,29,71.97
1981,9,30,70.48
1981,10,1,68.77
1981,10,2,66.87
1981,10,3,65.58
1981,10,4,64.38
1981,10,5,63.10
1981,10,6,61.52
1981,10,7,60.39
1981,10,8,59.44
1981,10,9,66.29
1981,10,10,65.04
1981,10,11,64.31
1981,10,12,62.95
1981,10,13,61.54
1981,10,14,75.38
1981,10,15,93.22
1981,10,16,92.08
1981,10,17,90.75
1981,10,18,95.03
1981,10,19,95.20
1981,10,20,94.13
1981,10,21,93.85
1981,10,22,95.20
1981,10,23,94.40
1981,10,24,93.46
1981,10,25,92.41
1981,10,26,94.76
1981,10,27,93.38
1981,10,28,92.40
1981,10,29,91.47
1981,10,30,90.40
1981,10,31,89.84
1981,11,1,89.25
1981,11,2,89.34
1981,11,3,89.63
1981,11,4,88.08
1981,11,5,87.09
1981,11,6,88.39
1981,11,7,90.34
1981,11,8,95.20
1981,11,9,94.92
1981,11,10,95.20
1981,11,11,94.61
1981,11,12,95.20
1981,11,13,95.20
1981,11,14,95.20
1981,11,15,95.20
1981,11,16,94.56
1981,11,17,95.20
1981,11,18,94.33
1981,11,19,95.20
1981,11,20,95.20
1981,11,21,95.20
1981,11,22,94.69
1981,11,23,95.20
1981,11,24,94.72
1981,11,25,94.14
1981,11,26,95.20
1981,11,27,95.20
1981,11,28,95.20
1981,11,29,95.20
1981,11,30,94.64
1981,12,1,94.13
1981,12,2,93.66
1981,12,3,93.35
1981,12,4,92.82
1981,12,5,92.16
1981,12,6,95.20
1981,12,7,95.20
1981,12,8,95.20
1981,12,9,94.81
1981,12,10,94.31
1981,12,11,95.20
1981,12,12,95.20
1981,12,13,95.20
1981,12,14,94.75
1981,12,15,94.39
1981,12,16,93.87
1981,12,17,93.64
1981,12,18,93.48
1981,12,19,93.26
1981,12,20,93.01
1981,12,21,92.74
1981,12,22,92.42
1981,12,23,92.16
1981,12,24,91.92
1981,12,25,91.59
1981,12,26,91.18
1981,12,27,90.73
1981,12,28,90.18
1981,12,29,89.62
1981,12,30,89.11
1981,12,31,88.83
1982,1,1,88.57
1982,1,2,88.18
1982,1,3,87.80
1982,1,4,87.44
1982,1,5,87.15
1982,1,6,86.80
1982,1,7,95.20
1982,1,8,94.72
1982,1,9,94.51
1982,1,10,94.07
1982,1,11,95.20
1982,1,12,94.67
1982,1,13,94.14
1982,1,14,93.65
1982,1,15,93.19
1982,1,16,92.84
1982,1,17,92.39
1982,1,18,91.89
1982,1,19,91.39
1982,1,20,90.98
1982,1,21,90.40
1982,1,22,95.20
1982,1,23,95.20
1982,1,24,94.64
1982,1,25,94.09
1982,1,26,93.51
1982,1,27,93.15
1982,1,28,92.99
1982,1,29,92.81
1982,1,30,92.54
1982,1,31,92.30
1982,2,1,91.91
1982,2,2,91.40
1982,2,3,90.88
1982,2,4,90.16
1982,2,5,95.20
1982,2,6,94.60
1982,2,7,93.95
1982,2,8,95.20
1982,2,9,95.20
1982,2,10,95.20
1982,2,11,94.47
1982,2,12,93.72
1982,2,13,93.10
1982,2,14,92.60
1982,2,15,92.12
1982,2,16,91.44
1982,2,17,90.86
1982,2,18,90.32
1982,2,19,89.67
1982,2,20,89.18
1982,2,21,95.20
1982,2,22,94.68
1982,2,23,94.02
1982,2,24,95.20
1982,2,25,94.76
1982,2,26,94.46
1982,2,27,94.10
1982,2,28,93.49
1982,3,1,95.20
1982,3,2,95.20
1982,3,3,95.20
1982,3,4,94.34
1982,3,5,93.06
1982,3,6,92.25
1982,3,7,91.54
1982,3,8,90.82
1982,3,9,95.20
1982,3,10,94.38
1982,3,11,94.08
1982,3,12,95.20
1982,3,13,94.51
1982,3,14,93.87
1982,3,15,94.50
1982,3,16,92.97
1982,3,17,91.95
1982,3,18,95.20
1982,3,19,94.46
1982,3,20,93.38
1982,3,21,91.89
1982,3,22,90.87
1982,3,23,90.04
1982,3,24,89.24
1982,3,25,88.43
1982,3,26,87.56
1982,3,27,86.83
1982,3,28,85.97
1982,3,29,84.79
1982,3,30,83.38
1982,3,31,95.20
1982,4,1,95.20
1982,4,2,95.20
1982,4,3,95.20
1982,4,4,94.55
1982,4,5,93.38
1982,4,6,92.46
1982,4,7,91.27
1982,4,8,95.20
1982,4,9,95.20
1982,4,10,94.62
1982,4,11,93.28
1982,4,12,91.22
1982,4,13,95.20
1982,4,14,95.20
1982,4,15,95.20
1982,4,16,94.23
1982,4,17,93.13
1982,4,18,93.12
1982,4,19,90.57
1982,4,20,87.56
1982,4,21,85.24
1982,4,22,82.12
1982,4,23,81.23
1982,4,24,86.33
1982,4,25,85.04
1982,4,26,92.98
1982,4,27,95.20
1982,4,28,95.20
1982,4,29,95.20
1982,4,30,93.94
1982,5,1,93.52
1982,5,2,91.68
1982,5,3,90.07
1982,5,4,88.45
1982,5,5,87.29
1982,5,6,88.27
1982,5,7,89.69
1982,5,8,88.39
1982,5,9,86.73
1982,5,10,85.11
1982,5,11,83.52
1982,5,12,82.75
1982,5,13,80.97
1982,5,14,85.72
1982,5,15,95.20
1982,5,16,94.20
1982,5,17,93.20
1982,5,18,92.81
1982,5,19,95.20
1982,5,20,95.20
1982,5,21,91.50
1982,5,22,93.99
1982,5,23,95.20
1982,5,24,95.20
1982,5,25,93.84
1982,5,26,94.15
1982,5,27,94.83
1982,5,28,95.20
1982,5,29,92.97
1982,5,30,90.25
1982,5,31,91.98
1982,6,1,89.86
1982,6,2,88.02
1982,6,3,85.99
1982,6,4,92.14
1982,6,5,92.99
1982,6,6,90.29
1982,6,7,88.05
1982,6,8,85.85
1982,6,9,83.35
1982,6,10,79.98
1982,6,11,77.83
1982,6,12,74.59
1982,6,13,71.13
1982,6,14,69.71
1982,6,15,67.05
1982,6,16,64.17
1982,6,17,61.73
1982,6,18,59.33
1982,6,19,56.89
1982,6,20,54.05
1982,6,21,51.43
1982,6,22,48.55
1982,6,23,49.37
1982,6,24,48.98
1982,6,25,45.77
1982,6,26,43.26
1982,6,27,40.31
1982,6,28,37.47
1982,6,29,33.32
1982,6,30,34.26
1982,7,1,49.69
1982,7,2,58.29
1982,7,3,58.53
1982,7,4,56.55
1982,7,5,53.28
1982,7,6,50.64
1982,7,7,47.72
1982,7,8,44.53
1982,7,9,44.64
1982,7,10,53.14
1982,7,11,52.16
1982,7,12,52.49
1982,7,13,52.97
1982,7,14,58.81
1982,7,15,59.01
1982,7,16,55.59
1982,7,17,52.67
1982,7,18,49.47
1982,7,19,46.21
1982,7,20,42.37
1982,7,21,39.20
1982,7,22,38.28
1982,7,23,37.29
1982,7,24,34.52
1982,7,25,36.85
1982,7,26,35.82
1982,7,27,34.07
1982,7,28,40.21
1982,7,29,38.36
1982,7,30,34.13
1982,7,31,30.36
1982,8,1,27.11
1982,8,2,29.36
1982,8,3,29.17
1982,8,4,34.62
1982,8,5,35.35
1982,8,6,39.58
1982,8,7,37.26
1982,8,8,34.49
1982,8,9,31.05
1982,8,10,28.12
1982,8,11,26.45
1982,8,12,24.95
1982,8,13,22.97
1982,8,14,21.12
1982,8,15,19.54
1982,8,16,17.52
1982,8,17,15.49
1982,8,18,13.19
1982,8,19,11.47
1982,8,20,10.41
1982,8,21,9.14
1982,8,22,8.34
1982,8,23,7.64
1982,8,24,7.51
1982,8,25,9.95
1982,8,26,8.87
1982,8,27,7.64
1982,8,28,11.49
1982,8,29,11.55
1982,8,30,10.65
1982,8,31,9.73
1982,9,1,8.88
1982,9,2,8.18
1982,9,3,8.20
1982,9,4,7.53
1982,9,5,6.76
1982,9,6,6.27
1982,9,7,5.63
1982,9,8,5.00
1982,9,9,4.50
1982,9,10,4.02
1982,9,11,3.51
1982,9,12,3.09
1982,9,13,4.46
1982,9,14,9.09
1982,9,15,9.06
1982,9,16,20.29
1982,9,17,77.29
1982,9,18,81.52
1982,9,19,79.76
1982,9,20,78.17
1982,9,21,76.51
1982,9,22,74.57
1982,9,23,76.83
1982,9,24,74.99
1982,9,25,74.20
1982,9,26,73.26
1982,9,27,71.31
1982,9,28,88.58
1982,9,29,95.20
1982,9,30,93.79
1982,10,1,92.22
1982,10,2,90.69
1982,10,3,89.24
1982,10,4,88.53
1982,10,5,87.04
1982,10,6,86.04
1982,10,7,84.55
1982,10,8,83.50
1982,10,9,82.47
1982,10,10,80.76
1982,10,11,78.40
1982,10,12,77.32
1982,10,13,76.52
1982,10,14,75.77
1982,10,15,74.92
1982,10,16,73.50
1982,10,17,71.74
